,codigo_comuna,codigo_barrio,hurtos,hurtos_peligrosos,hurtos_no_peligrosos,hurtos_a_mujeres,hurtos_a_hombres,hurtos_en_transporte_publico,hurtos_en_transporte_particular,hurtos_en_via_publica,hurtos_niños,hurtos_jovenes,hurtos_adultos,hurtos_adultos_mayores
0,10,1019,32589,14564.0,18025.0,17142.0,15583.0,29084,31483.0,6165.0,334.0,1339.0,29033.0,1883.0
1,14,1418,7033,2895.0,4138.0,4298.0,2838.0,6697,6421.0,1441.0,173.0,155.0,6521.0,184.0
2,10,1007,6296,2524.0,3772.0,3165.0,3154.0,5486,5955.0,1335.0,72.0,168.0,5700.0,356.0
3,10,1013,6239,3657.0,2582.0,3105.0,3159.0,5425,5689.0,1571.0,59.0,216.0,5707.0,257.0
4,10,1006,5128,2907.0,2221.0,3299.0,1841.0,4654,4663.0,1203.0,35.0,184.0,4605.0,304.0
5,10,1018,5079,3226.0,1853.0,3312.0,1789.0,4765,4726.0,964.0,45.0,217.0,4517.0,300.0
6,10,1001,5060,3338.0,1722.0,3037.0,2053.0,4574,4363.0,1415.0,60.0,167.0,4590.0,243.0
7,10,1016,4122,2543.0,1579.0,2489.0,1652.0,3910,3654.0,880.0,42.0,173.0,3732.0,175.0
8,16,1603,4078,2329.0,1749.0,2261.0,1850.0,3784,3380.0,1411.0,72.0,105.0,3685.0,216.0
9,11,1108,4042,2441.0,1601.0,2319.0,1763.0,3890,3144.0,1489.0,59.0,95.0,3690.0,198.0
10,11,1105,3751,2311.0,1440.0,2084.0,1707.0,3525,3001.0,1444.0,64.0,117.0,3378.0,192.0
11,11,1103,3261,1794.0,1467.0,2035.0,1250.0,3057,2717.0,1019.0,50.0,100.0,2993.0,118.0
12,10,1012,3175,1755.0,1420.0,1811.0,1406.0,2848,2404.0,1289.0,68.0,41.0,2951.0,115.0
13,10,1020,3082,1525.0,1557.0,1673.0,1438.0,2814,2467.0,1083.0,52.0,74.0,2788.0,168.0
14,14,1421,2933,1362.0,1571.0,1673.0,1273.0,2243,2522.0,1163.0,31.0,134.0,2677.0,91.0
15,11,1107,2840,1585.0,1255.0,1758.0,1086.0,2711,2441.0,626.0,30.0,109.0,2623.0,78.0
